Event,AvgScore,MinScore,MaxScore,AvgDelta,MinDelta,MaxDelta,LPS,LNS
1,23.9473684210526,-26,73,-0.972972972972973,-44,27,0.394736842105263,0.105263157894737
2,34.6153846153846,14,55,-2.41666666666667,-20,18,1,0
3,-692.198113207547,-11544,93,110.190476190476,-5009,9578,0.179245283018868,0.443396226415094
4,49.2467532467532,-30,198,-2.55263157894737,-85,69,0.467532467532468,0.038961038961039
5,306.040816326531,10,917,-17.6875,-309,87,1,0
6,30.8275862068966,-15,94,0.508771929824561,-29,57,0.517241379310345,0.0689655172413793
7,237.44,-4,6395,-11.8513513513514,-5519,5497,0.96,0.0133333333333333
8,-1081.49606299213,-10293,64,0.206349206349206,-5371,5375,0.102362204724409,0.433070866141732
9,106.923076923077,-3,445,-4.26666666666667,-229,108,0.868131868131868,0
10,139.033898305085,-5,420,-5.60344827586207,-142,69,0.915254237288136,0.0169491525423729
11,253.746666666667,15,1581,-16.4054054054054,-481,341,1,0
12,-239.68,-683,63,7.15151515151515,-62,149,0.42,0.58
13,-116,-1003,48,13.3636363636364,-60,386,0.0512820512820513,0.205128205128205
14,98.6666666666667,-1,1126,-17.8548387096774,-833,130,0.73015873015873,0.0158730158730159
15,-7.95035460992908,-124,236,0.185714285714286,-123,166,0.0141843971631206,0.148936170212766
16,30.0416666666667,-23,81,0.267605633802817,-78,69,0.444444444444444,0.0277777777777778
17,318.31746031746,-59,751,-11.3548387096774,-476,204,0.571428571428571,0.0476190476190476
18,-289.965909090909,-5227,385,28.6914285714286,-1373,3407,0.113636363636364,0.460227272727273
19,-153.307692307692,-1006,91,8.66233766233766,-365,253,0.230769230769231,0.769230769230769
20,-127.153846153846,-1137,65,15,-73,787,0.487179487179487,0.435897435897436
21,118.112676056338,11,539,-7.44285714285714,-271,23,1,0
22,-112.48275862069,-734,64,6.60869565217391,-127,215,0.0603448275862069,0.310344827586207
23,1083.82178217822,-37,11928,-17.75,-10918,8976,0.712871287128713,0.0198019801980198
24,144.423529411765,13,586,-6.76190476190476,-117,50,1,0
25,-185.950980392157,-5195,45,2.41584158415842,-4909,3585,0.0784313725490196,0.235294117647059
26,10.8333333333333,-12,64,0.295774647887324,-47,47,0.25,0.0277777777777778
