Event,Result,FirstMove,NumberOfMoves,WhiteElo,BlackElo
1,D,Nf3Nf6,19,2354,2411
2,D,e4e5,7,2523,2460
3,B,e4d5,53,1915,1999
4,W,c4Nf6,39,2446,2191
5,W,e4c5,25,2168,2075
6,D,Nf3d5,29,2437,2254
7,W,Nf3Nf6,38,2449,2201
8,D,e4c5,64,1813,1643
9,W,e4e6,46,2553,2052
10,W,e4e6,30,2611,2520
11,W,e4g6,38,2306,2093
12,B,e4c6,50,2108,2273
13,B,e4e6,39,2047,2186
14,W,d4d5,32,2357,2110
15,D,e4e6,71,1877,1851
16,D,d4d5,36,2406,2147
17,W,e4c5,32,2054,2099
18,B,Nf3Nf6,88,2250,2132
19,B,e4g6,39,1860,2464
20,B,d4Nf6,40,1942,1663
21,W,Nf3Nf6,36,2295,2191
22,B,e4c5,58,2345,2560
23,W,c4c6,52,1979,2263
24,W,d4d5,43,2550,2502
25,B,e4e5,51,2392,2272
26,D,Nf3c5,36,2413,2315
27,W,Nf3d5,56,2332,2334
28,W,d4Nf6,34,2119,2136
29,W,d4e6,49,2522,2285
30,D,d4Nf6,13,2324,2365
31,D,d4d5,62,2482,2329
32,B,d4Nf6,42,2345,2291
33,W,d4d5,58,1933,2207
34,D,Nf3Nf6,34,1941,2184
35,D,d4Nf6,39,2224,2008
36,B,c4Nf6,38,1889,2307
37,W,e4e6,87,2369,2394
38,W,e4c5,42,2529,2255
39,W,e4e6,70,1992,2119
40,D,d4Nf6,17,2130,1943
41,B,d4Nf6,32,2376,2591
42,W,e4e6,36,1870,2086
43,W,d4d5,34,2450,2170
44,D,d4Nf6,24,2133,2214
45,D,e4e5,5,2430,2550
46,B,c4e5,50,2024,2517
47,D,d4d5,40,2079,2202
48,B,e4d6,35,2101,2330
49,D,e4c5,10,2336,2481
50,B,d4d5,42,2281,2524
51,D,e4c5,51,2148,2197
52,B,c4Nf6,54,2124,2392
53,W,Nf3Nf6,31,2246,2426
54,B,c4c5,61,2613,2742
55,B,d4d5,28,2269,2106
56,D,d4Nf6,26,2485,2293
57,B,e4c5,47,2207,2402
58,W,e4e5,25,2607,1765
59,B,g3d5,31,2700,2753
60,B,e4c5,35,1962,2057
61,W,e4c5,58,2360,1924
62,W,d4Nf6,33,2311,2352
63,W,e4c5,62,2453,2268
64,B,e4c6,43,1934,1792
65,W,e4e6,45,2232,2344
66,W,Nc3e6,39,2271,2211
67,W,Nf3Nf6,25,2353,2327
68,D,e4e6,53,1629,1895
69,D,e4c5,20,1902,2145
70,B,Nf3d6,45,2248,2512
71,D,d4Nf6,65,2359,2064
72,W,e4Nf6,45,2368,2248
73,D,e4c5,23,2056,2265
74,D,b3e5,37,2241,1776
75,W,e4c5,20,1827,1540
76,D,g3c5,28,2466,2233
77,B,d4Nf6,40,2516,2706
78,B,e4c5,76,2152,2255
79,W,e4e5,27,2706,2713
80,W,e4e5,65,2103,1870
81,B,e4d6,31,1381,1735
82,D,e4e6,41,2391,2431
83,W,d4Nf6,32,2380,2192
84,B,d4Nf6,41,2051,2185
85,B,d4d5,48,1945,2171
86,D,d4Nf6,30,2270,2152
87,D,e4c5,62,2460,2329
88,W,d4Nf6,62,2443,2407
89,W,d4d5,36,2548,2475
90,W,e4c5,38,2172,1880
91,W,d4Nf6,25,2484,2507
92,D,d4Nf6,26,2119,2199
93,D,Nf3d5,68,2583,2461
94,B,e4e5,50,2531,2552
95,B,d4c6,41,2291,2459
96,W,e4b6,60,2171,2040
97,W,Nf3c5,93,1962,2061
98,D,d4Nf6,26,2183,1931
99,B,c4Nf6,30,2250,2680
100,D,e4e5,20,2645,2522
101,B,e4d5,50,1766,2053
102,B,d4d5,20,1890,2498
103,W,e4e6,60,2220,2122
104,W,d4Nf6,24,2668,2390
105,B,e4e6,37,2534,2731
106,D,e4e5,16,2382,2580
107,W,e4c5,45,1769,1799
108,W,e4c5,42,1828,2030
109,B,e4e5,27,2065,2282
110,W,Nf3d5,48,2467,2109
111,D,e4c5,21,2469,2663
112,W,d4d5,25,2371,1822
113,W,e4e6,35,2432,2120
114,D,e4c6,22,1903,1633
115,W,e4c5,38,2359,2356
116,D,e4c5,40,1935,2210
117,W,Nf3Nf6,39,2543,2176
118,W,d4Nf6,39,2523,1960
119,W,e4c5,32,2527,2507
120,B,Nf3Nf6,47,2368,2222
121,W,d4d6,27,2552,2331
122,W,c4g6,50,2253,2156
123,D,Nf3Nf6,17,2430,2410
124,W,e4e5,49,2391,2170
125,D,e4c5,23,2276,2455
126,B,d4Nf6,36,2706,2739
127,B,d4Nf6,32,2087,2372
128,W,e4e6,59,2595,2614
129,W,e4e6,41,2476,2169
130,W,e4e6,61,1861,1513
131,B,e4c5,45,2427,2322
132,B,c4c5,39,2577,2574
133,D,d4d5,41,2489,2621
134,D,e4c5,37,2409,2354
135,D,e4e5,41,2191,1991
136,W,c4c5,29,1585,1613
137,D,d4Nf6,35,1612,1580
138,B,e4d6,29,2069,2515
139,D,d4d5,69,2392,2295
140,B,d4d6,67,2072,2251
141,B,e4d5,33,2451,2655
142,B,d4Nf6,69,2484,2463
143,D,d4d5,31,2597,2605
144,W,e4c5,11,2090,1658
145,D,e4e6,60,2409,1936
146,W,e4c6,31,2126,2168
147,W,e4c5,29,2480,1799
148,B,d4Nf6,49,2250,2122
149,D,d4d5,41,2164,2191
150,D,Nf3g6,61,2211,2317
151,B,d4Nf6,40,2013,2245
152,W,d4Nf6,38,2437,2359
153,W,e4c5,54,2050,2088
154,B,d4Nf6,32,1846,2337
155,W,e4c5,31,2275,2422
156,D,d4Nf6,28,2225,2050
157,W,c4Nf6,36,2230,1846
158,B,e4e6,54,2336,2225
159,B,e4c5,36,1788,2212
160,B,d4Nf6,22,1965,2083
161,B,d4c6,67,2469,2608
162,W,d4Nf6,22,2319,2107
163,D,e4c5,55,1876,1904
164,B,e4c5,41,2556,2693
165,W,d4Nf6,38,2512,2571
166,B,Nf3Nf6,57,2298,2202
167,W,d4d5,37,2430,2550
168,W,d4Nf6,30,2329,2468
169,D,c4Nf6,44,2253,2046
170,D,d4d5,31,2554,2607
171,B,e4c5,69,2075,2369
172,W,e4c6,47,2030,2232
173,W,e4Nc6,26,2346,2114
174,B,e4c5,50,2347,2479
175,B,d4d5,53,1985,2255
176,W,e4c5,32,2390,2034
177,B,d4Nf6,41,2298,2516
178,B,d4Nf6,29,2284,2092
179,D,d4Nf6,45,2177,2356
180,D,e4c5,24,2145,2351
181,D,e4c5,64,2316,2242
182,W,d4d5,83,2160,2047
183,W,e4e5,30,2017,1958
184,D,e4e5,57,2334,2166
185,B,d4Nf6,52,2119,2363
186,W,d4d5,38,1956,1945
187,D,e4c5,24,2559,2440
188,B,d4Nf6,43,2091,2581
